depto,victim_conflict,response,friendliness,substantive,gender_female,words_responses,victim_ID
SANTANDER,0,1,1,1,0,41,456
CUNDINAMARCA,0,0,0,0,1,0,457
BOYACA,0,0,0,0,0,0,458
ANTIOQUIA,1,1,5,1,1,144,459
RISARALDA,0,1,6,3,1,89,460
NARINO,1,0,0,0,1,0,461
VALLE DEL CAUCA,1,0,0,0,0,0,462
CALDAS,0,1,0,0,0,29,463
NORTE DE SANTANDER,1,1,6,2,0,129,464
ANTIOQUIA,1,1,4,3,1,585,465
NARINO,1,1,6,3,0,189,466
CESAR,0,0,0,0,1,0,467
CESAR,1,0,0,0,1,0,468
LA GUAJIRA,1,0,0,0,1,0,469
NARINO,0,1,3,2,0,133,470
META,1,0,0,0,0,0,471
CALDAS,1,0,0,0,1,0,472
CUNDINAMARCA,1,0,0,0,1,0,473
CAQUETA,0,0,0,0,1,0,474
CUNDINAMARCA,1,0,0,0,1,0,475
CESAR,1,0,0,0,1,0,476
SANTANDER,1,0,0,0,0,0,477
CUNDINAMARCA,1,1,5,1,0,71,478
ANTIOQUIA,1,0,0,0,0,0,479
HUILA,1,1,4,2,0,85,480
NORTE DE SANTANDER,1,0,0,0,1,0,481
VICHADA,1,0,0,0,0,0,482
CASANARE,0,0,0,0,0,0,483
CAUCA,1,0,0,0,1,0,484
QUINDIO,0,1,4,2,1,129,485
NARINO,1,1,2,1,1,26,486
NARINO,1,0,0,0,1,0,487
ANTIOQUIA,0,0,0,0,0,0,488
SUCRE,0,0,0,0,0,0,489
VALLE DEL CAUCA,0,0,0,0,1,0,490
BOYACA,0,0,0,0,0,0,491
CAUCA,1,0,0,0,1,0,492
CUNDINAMARCA,1,1,5,1,1,84,493
BOYACA,1,1,2,1,1,82,494
VALLE DEL CAUCA,1,0,0,0,1,0,495
RISARALDA,1,0,0,0,0,0,496
NORTE DE SANTANDER,1,1,3,2,0,66,497
BOYACA,0,0,0,0,1,0,498
SANTANDER,0,0,0,0,0,0,499
SANTANDER,1,0,0,0,0,0,500
PUTUMAYO,1,0,0,0,1,0,501
NARINO,1,0,0,0,0,0,502
META,1,1,4,1,1,78,503
CUNDINAMARCA,1,1,3,1,0,89,504
TOLIMA,1,0,0,0,0,0,505
AMAZONAS,1,0,0,0,1,0,506
TOLIMA,1,0,0,0,1,0,507
ANTIOQUIA,1,1,4,1,0,97,508
NARINO,0,0,0,0,1,0,509
CHOCO,1,0,0,0,0,0,510
CAUCA,1,0,0,0,0,0,511
CORDOBA,0,0,0,0,1,0,512
NARINO,1,1,0,0,0,8,513
CORDOBA,1,0,0,0,1,0,514
SUCRE,1,0,0,0,0,0,515
NORTE DE SANTANDER,0,0,0,0,0,0,516
SANTANDER,1,1,5,1,0,86,517
NORTE DE SANTANDER,1,0,0,0,1,0,518
ATLANTICO,1,1,0,0,0,5,519
